Date,Open,High,Low,Close,Adj Close,Volume
2020-01-07,0.850000,0.870000,0.850000,0.850000,0.786826,351400
2020-01-08,0.850000,0.850000,0.820000,0.830000,0.768312,593600
2020-01-09,0.830000,0.850000,0.830000,0.830000,0.768312,197400
2020-01-10,0.840000,0.850000,0.830000,0.840000,0.777569,281000
2020-01-13,0.840000,0.860000,0.840000,0.850000,0.786826,169100
2020-01-14,0.850000,0.870000,0.850000,0.850000,0.786826,139400
2020-01-15,0.870000,0.870000,0.850000,0.850000,0.786826,183100
2020-01-16,0.860000,0.900000,0.850000,0.870000,0.805339,760300
2020-01-17,0.870000,0.880000,0.870000,0.880000,0.814596,231300
2020-01-20,0.880000,0.890000,0.860000,0.860000,0.796082,407200
2020-01-21,0.860000,0.890000,0.850000,0.850000,0.786826,419300
2020-01-22,0.860000,0.880000,0.850000,0.860000,0.796082,432500
2020-01-23,0.870000,0.880000,0.850000,0.850000,0.786826,375900
2020-01-24,0.860000,0.870000,0.850000,0.870000,0.805339,298800
2020-01-27,0.860000,0.860000,0.820000,0.840000,0.777569,981800
2020-01-28,0.840000,0.850000,0.830000,0.830000,0.768312,220500
2020-01-29,0.830000,0.850000,0.830000,0.830000,0.768312,179900
2020-01-30,0.840000,0.840000,0.830000,0.830000,0.768312,302800
2020-01-31,0.840000,0.850000,0.820000,0.820000,0.759055,353200
2020-02-03,0.820000,0.830000,0.820000,0.820000,0.759055,254500
2020-02-04,0.830000,0.830000,0.820000,0.830000,0.768312,239400
2020-02-05,0.830000,0.830000,0.820000,0.820000,0.759055,570200
2020-02-06,0.830000,0.840000,0.820000,0.840000,0.777569,633900
2020-02-07,0.830000,0.850000,0.830000,0.840000,0.777569,403600
2020-02-11,0.850000,0.850000,0.840000,0.850000,0.786826,203500
2020-02-12,0.850000,0.870000,0.850000,0.870000,0.805339,573200
2020-02-13,0.870000,0.870000,0.860000,0.860000,0.796082,307200
2020-02-14,0.860000,0.910000,0.860000,0.890000,0.823853,1179900
2020-02-17,0.930000,0.930000,0.890000,0.900000,0.833109,331000
2020-02-18,0.900000,0.900000,0.860000,0.860000,0.796082,1463500
2020-02-19,0.870000,0.870000,0.860000,0.860000,0.796082,459600
2020-02-20,0.850000,0.850000,0.810000,0.820000,0.759055,1095100
2020-02-21,0.830000,0.830000,0.830000,0.830000,0.768312,122000
2020-02-24,0.820000,0.820000,0.800000,0.800000,0.740542,660600
2020-02-25,0.810000,0.810000,0.790000,0.810000,0.749799,425300
2020-02-26,0.800000,0.800000,0.770000,0.770000,0.712771,1007700
2020-02-27,0.750000,0.780000,0.750000,0.770000,0.712771,728600
2020-02-28,0.770000,0.770000,0.750000,0.760000,0.703515,373600
2020-03-02,0.760000,0.760000,0.720000,0.740000,0.685001,519600
2020-03-03,0.740000,0.760000,0.740000,0.750000,0.694258,115100
2020-03-04,0.750000,0.760000,0.740000,0.750000,0.694258,276000
2020-03-05,0.760000,0.770000,0.750000,0.770000,0.712771,578800
2020-03-06,0.760000,0.760000,0.750000,0.760000,0.703515,458400
2020-03-09,0.740000,0.740000,0.700000,0.710000,0.657231,880400
2020-03-10,0.690000,0.720000,0.680000,0.720000,0.666488,258700
2020-03-11,0.690000,0.720000,0.680000,0.680000,0.629460,412500
2020-03-12,0.680000,0.680000,0.490000,0.590000,0.546149,361100
2020-03-13,0.500000,0.590000,0.430000,0.580000,0.536893,913300
2020-03-16,0.570000,0.570000,0.500000,0.530000,0.490609,382200
2020-03-17,0.520000,0.550000,0.500000,0.520000,0.481352,358600
2020-03-18,0.520000,0.590000,0.520000,0.520000,0.481352,648500
2020-03-19,0.510000,0.550000,0.500000,0.530000,0.490609,79300
2020-03-20,0.530000,0.600000,0.530000,0.590000,0.546149,1327300
2020-03-23,0.590000,0.590000,0.510000,0.530000,0.490609,445200
2020-03-24,0.530000,0.540000,0.500000,0.530000,0.490609,135500
2020-03-25,0.540000,0.600000,0.530000,0.590000,0.546149,921900
2020-03-26,0.550000,0.590000,0.550000,0.590000,0.546149,250100
2020-03-27,0.600000,0.610000,0.580000,0.600000,0.555406,311800
2020-03-30,0.580000,0.580000,0.580000,0.580000,0.536893,37300
2020-03-31,0.580000,0.610000,0.580000,0.610000,0.564663,23500
2020-04-01,0.600000,0.610000,0.590000,0.600000,0.555406,221200
2020-04-02,0.600000,0.690000,0.600000,0.610000,0.564663,810100
2020-04-03,0.610000,0.610000,0.600000,0.610000,0.564663,184600
2020-04-07,0.590000,0.690000,0.590000,0.660000,0.610947,3325500
2020-04-08,0.660000,0.720000,0.660000,0.660000,0.635000,1079400
2020-04-09,0.660000,0.680000,0.660000,0.660000,0.660000,244600
2020-04-10,0.660000,0.660000,0.650000,0.660000,0.660000,21400
2020-04-13,0.660000,0.670000,0.640000,0.650000,0.650000,256700
2020-04-14,0.660000,0.680000,0.660000,0.670000,0.670000,400100
2020-04-15,0.670000,0.670000,0.660000,0.660000,0.660000,203500
2020-04-16,0.660000,0.670000,0.650000,0.650000,0.650000,345100
2020-04-17,0.660000,0.670000,0.650000,0.660000,0.660000,316600
2020-04-20,0.670000,0.670000,0.660000,0.670000,0.670000,230400
2020-04-21,0.660000,0.670000,0.660000,0.670000,0.670000,101800
2020-04-22,0.660000,0.670000,0.660000,0.670000,0.670000,71900
2020-04-23,0.670000,0.670000,0.660000,0.660000,0.660000,83900
2020-04-24,0.660000,0.670000,0.660000,0.670000,0.670000,138400
2020-04-27,0.670000,0.670000,0.670000,0.670000,0.670000,73900
2020-04-28,0.670000,0.690000,0.630000,0.680000,0.680000,526700
2020-04-29,0.680000,0.700000,0.670000,0.670000,0.670000,211600
2020-04-30,0.670000,0.690000,0.670000,0.680000,0.680000,262100
2020-05-05,0.670000,0.670000,0.670000,0.670000,0.670000,86000
2020-05-07,0.670000,0.670000,0.650000,0.660000,0.660000,173500
2020-05-08,0.670000,0.670000,0.640000,0.650000,0.650000,114900
2020-05-11,0.660000,0.670000,0.660000,0.670000,0.670000,123200
2020-05-12,0.670000,0.690000,0.670000,0.680000,0.680000,195300
2020-05-13,0.670000,0.680000,0.670000,0.670000,0.670000,268000
2020-05-14,0.670000,0.670000,0.650000,0.650000,0.650000,202900
2020-05-15,0.660000,0.660000,0.650000,0.660000,0.660000,11500
2020-05-18,0.660000,0.670000,0.660000,0.670000,0.670000,26000
2020-05-19,0.670000,0.680000,0.660000,0.670000,0.670000,116000
2020-05-20,0.670000,0.680000,0.660000,0.680000,0.680000,135900
2020-05-21,0.680000,0.720000,0.680000,0.700000,0.700000,521000
